evento_id,data_hora_evento,t_ms,ax_ms2,ay_ms2,az_ms2,dx_ms2,dy_ms2,dz_ms2
1,56:02.1,0,3.2903,1.4156,-8.6465,5.7469,0.4844,0.228
1,56:02.1,10,2.2573,2.6781,-9.4117,4.7139,0.7782,0.9932
1,56:02.2,19,-1.3391,2.1808,-8.8761,1.1175,0.2808,0.4576
1,56:02.2,29,-1.1478,2.3338,-8.6083,1.3088,0.4339,0.1898
1,56:02.2,38,-2.066,2.1042,-10.4064,0.3906,0.2043,1.9879
1,56:02.2,47,-1.5686,2.219,-9.0291,0.888,0.3191,0.6106
1,56:02.2,57,-1.186,2.6399,-7.9961,1.2706,0.7399,0.4224
1,56:02.2,67,-1.7217,2.7546,-8.5318,0.735,0.8547,0.1132
1,56:02.2,76,-2.2955,2.1042,-7.9196,0.1611,0.2043,0.4989
1,56:02.2,85,-2.0277,2.4486,-7.6135,0.4289,0.5486,0.805
1,56:02.2,95,-2.4868,2.219,-7.8048,0.0302,0.3191,0.6137
1,56:02.2,104,-2.4868,2.2955,-8.0344,0.0302,0.3956,0.3841
1,56:02.3,114,-2.3721,2.219,-7.9196,0.0846,0.3191,0.4989
1,56:02.3,123,-2.4486,2.219,-8.4552,0.008,0.3191,0.0367
1,56:02.3,132,-2.6781,1.8364,-8.8761,0.2215,0.0635,0.4576
1,56:02.3,142,-2.5634,1.9895,-8.6083,0.1067,0.0895,0.1898
1,56:02.3,151,-2.4868,2.1042,-8.4552,0.0302,0.2043,0.0367
2,56:02.5,0,1.9512,3.8642,-5.5476,4.4078,1.9642,2.871
2,56:02.6,10,2.1425,3.5963,-5.6623,4.5991,1.6964,2.7562
2,56:02.6,19,1.3008,-5.471,-19.6651,3.7574,7.371,11.2466
2,56:02.6,29,-2.9842,0.9182,-11.2099,0.5276,0.9817,2.7914
2,56:02.6,38,-1.186,3.0225,-5.8154,1.2706,1.1225,2.6031
2,56:02.6,47,-1.9512,3.252,-9.6413,0.5054,1.3521,1.2228
2,56:02.6,57,-2.2573,2.1425,-7.8048,0.1993,0.2426,0.6137
2,56:02.6,67,-2.4868,2.219,-8.6465,0.0302,0.3191,0.228
2,56:02.6,76,-1.7982,1.9895,-8.0726,0.6584,0.0895,0.3459
